# tau1,tau2,tau3
1.246610121029961782e+01,3.421198940499251329e+00,9.013983274736575568e-01
1.246506968606204424e+01,3.421492015535122277e+00,9.015829074014379829e-01
1.246403826175241925e+01,3.421785761213500532e+00,9.017672946476477103e-01
1.246300693772710311e+01,3.422080177457871297e+00,9.019514891424690317e-01
1.246197571434251472e+01,3.422375264191191757e+00,9.021354908161343111e-01
1.246094459195531812e+01,3.422671021336060715e+00,9.023192995989256504e-01
1.245991357092231588e+01,3.422967448814594249e+00,9.025029154211943183e-01
1.245888265160052377e+01,3.423264546548546061e+00,9.026863382133365477e-01
1.245785183434717247e+01,3.423562314459228428e+00,9.028695679058318380e-01
1.245682111951958326e+01,3.423860752467472679e+00,9.030526044291881105e-01
1.245579050747537408e+01,3.424159860493768193e+00,9.032354477139972193e-01
1.245475999857236005e+01,3.424459638458170030e+00,9.034180976909120808e-01
1.245372959316841488e+01,3.424760086280247418e+00,9.036005542906011545e-01
1.245269929162169120e+01,3.425061203879217864e+00,9.037828174438180540e-01
1.245166909429065960e+01,3.425362991173885430e+00,9.039648870814113168e-01
1.245063900153367165e+01,3.425665448082532372e+00,9.041467631341862932e-01
1.244960901370962603e+01,3.425968574523158949e+00,9.043284455331117577e-01
1.244857913117738235e+01,3.426272370413266266e+00,9.045099342091365013e-01
1.244754935429609155e+01,3.426576835669972620e+00,9.046912290932852541e-01
1.244651968342512127e+01,3.426881970209949557e+00,9.048723301166563537e-01
1.244549011892394219e+01,3.427187773949463612e+00,9.050532372103579082e-01
1.244446066115238203e+01,3.427494246804395850e+00,9.052339503056052727e-01
1.244343131047030759e+01,3.427801388690175255e+00,9.054144693336076966e-01
1.244240206723794273e+01,3.428109199521848449e+00,9.055947942256835637e-01
1.244137293181561255e+01,3.428417679214025071e+00,9.057749249131497038e-01
1.244034390456387129e+01,3.428726827680898648e+00,9.059548613274045481e-01
1.243931498584355744e+01,3.429036644836301662e+00,9.061346033998995964e-01
1.243828617601558584e+01,3.429347130593590975e+00,9.063141510621002261e-01
1.243725747544123905e+01,3.429658284865753082e+00,9.064935042455805059e-01
1.243622888448183872e+01,3.429970107565338377e+00,9.066726628818897460e-01
1.243520040349911859e+01,3.430282598604551314e+00,9.068516269026923871e-01
1.243417203285489947e+01,3.430595757895132714e+00,9.070303962396677466e-01
1.243314377291117445e+01,3.430909585348372648e+00,9.072089708245218986e-01
1.243211562403038251e+01,3.431224080875308058e+00,9.073873505890747149e-01
1.243108758657487556e+01,3.431539244386393683e+00,9.075655354651052109e-01
1.243005966090746561e+01,3.431855075791779619e+00,9.077435253845088647e-01
1.242903184739107836e+01,3.432171575001190078e+00,9.079213202791875936e-01
1.242800414638887929e+01,3.432488741923951814e+00,9.080989200810918316e-01
1.242697655826433234e+01,3.432806576469004334e+00,9.082763247222462866e-01
1.242594908338096538e+01,3.433125078544822184e+00,9.084535341346571258e-01
1.242492172210271484e+01,3.433444248059549508e+00,9.086305482504479780e-01
1.242389447479368769e+01,3.433764084920916115e+00,9.088073670017468020e-01
1.242286734181813301e+01,3.434084589036208168e+00,9.089839903206985428e-01
1.242184032354061429e+01,3.434405760312350786e+00,9.091604181395225304e-01
1.242081342032595970e+01,3.434727598655882286e+00,9.093366503904886100e-01
1.241978663253919990e+01,3.435050103972900004e+00,9.095126870059000446e-01
1.241875996054548636e+01,3.435373276169126022e+00,9.096885279180422224e-01
1.241773340471044840e+01,3.435697115149900505e+00,9.098641730593398647e-01
1.241670696539972418e+01,3.436021620820139510e+00,9.100396223621763925e-01
1.241568064297936935e+01,3.436346793084426920e+00,9.102148757590092787e-01
1.241465443781550171e+01,3.436672631846830139e+00,9.103899331823188668e-01
1.241362835027468492e+01,3.436999137011155891e+00,9.105647945646475616e-01
1.241260238072357502e+01,3.437326308480729509e+00,9.107394598385450957e-01
1.241157652952912649e+01,3.437654146158529933e+00,9.109139289366054992e-01
1.241055079705855491e+01,3.437982649947129765e+00,9.110882017914682107e-01
1.240952518367928903e+01,3.438311819748693932e+00,9.112622783358034217e-01
1.240849968975902406e+01,3.438641655465016544e+00,9.114361585023025292e-01
1.240747431566575720e+01,3.438972156997518681e+00,9.116098422237213228e-01
1.240644906176765438e+01,3.439303324247195093e+00,9.117833294328174798e-01
1.240542392843315866e+01,3.439635157114667496e+00,9.119566200623892005e-01
1.240439891603104527e+01,3.439967655500199228e+00,9.121297140452860885e-01
1.240337402493029373e+01,3.440300819303623747e+00,9.123026113143901661e-01
1.240234925549997058e+01,3.440634648424347297e+00,9.124753118025449306e-01
1.240132460810983872e+01,3.440969142761579391e+00,9.126478154427584144e-01
1.240030008312940168e+01,3.441304302213888278e+00,9.128201221679199673e-01
1.239927568092884158e+01,3.441640126679658351e+00,9.129922319110707063e-01
1.239825140187832098e+01,3.441976616056768634e+00,9.131641446051915745e-01
1.239722724634854778e+01,3.442313770242829474e+00,9.133358601833866386e-01
1.239620321471013042e+01,3.442651589134928081e+00,9.135073785786572698e-01
1.239517930733436835e+01,3.442990072629913190e+00,9.136786997241934660e-01
1.239415552459242775e+01,3.443329220624122833e+00,9.138498235530533309e-01
1.239313186685605039e+01,3.443669033013634362e+00,9.140207499984325246e-01
1.239210833449708993e+01,3.444009509694042848e+00,9.141914789935149388e-01
1.239108492788771798e+01,3.444350650560637828e+00,9.143620104714997865e-01
1.239006164740042948e+01,3.444692455508306939e+00,9.145323443656422358e-01
1.238903849340788632e+01,3.445034924431526591e+00,9.147024806091824667e-01
1.238801546628313233e+01,3.445378057224473434e+00,9.148724191354060675e-01
1.238699256639947066e+01,3.445721853780894239e+00,9.150421598776389276e-01
1.238596979413041410e+01,3.446066313994132102e+00,9.152117027691911710e-01
1.238494714984988754e+01,3.446411437757243235e+00,9.153810477434330961e-01
1.238392463393196330e+01,3.446757224962823773e+00,9.155501947337317814e-01
1.238290224675104412e+01,3.447103675503135012e+00,9.157191436734634093e-01
1.238187998868197681e+01,3.447450789270111393e+00,9.158878944960988644e-01
1.238085786009958689e+01,3.447798566155204636e+00,9.160564471350149951e-01
1.237983586137929315e+01,3.448147006049629315e+00,9.162248015237091092e-01
1.237881399289663875e+01,3.448496108844102181e+00,9.163929575956490936e-01
1.237779225502747948e+01,3.448845874429047775e+00,9.165609152843210428e-01
1.237677064814799266e+01,3.449196302694498506e+00,9.167286745232451350e-01
1.237574917263465579e+01,3.449547393530135952e+00,9.168962352459467668e-01
1.237472782886425016e+01,3.449899146825267326e+00,9.170635973859785350e-01
1.237370661721380039e+01,3.450251562468788613e+00,9.172307608768999199e-01
1.237268553806075566e+01,3.450604640349301810e+00,9.173977256523192514e-01
1.237166459178259537e+01,3.450958380354966160e+00,9.175644916457557088e-01
1.237064377875758581e+01,3.451312782373709531e+00,9.177310587909204287e-01
1.236962309936373572e+01,3.451667846292897135e+00,9.178974270213562381e-01
1.236860255397977681e+01,3.452023571999687235e+00,9.180635962707479614e-01
1.236758214298455982e+01,3.452379959380837526e+00,9.182295664727222473e-01
1.236656186675731028e+01,3.452737008322713130e+00,9.183953375609615888e-01
1.236554172567750953e+01,3.453094718711331002e+00,9.185609094691302712e-01
1.236452172012501904e+01,3.453453090432378136e+00,9.187262821309156724e-01
1.236350185048002004e+01,3.453812123371151177e+00,9.188914554800351464e-01
1.236248211712285361e+01,3.454171817412559520e+00,9.190564294501568643e-01
1.236146252043445593e+01,3.454532172441237226e+00,9.192212039750520258e-01
1.236044306079577204e+01,3.454893188341361387e+00,9.193857789883935760e-01
1.235942373858834387e+01,3.455254864996821773e+00,9.195501544239695901e-01
1.235840455419383410e+01,3.455617202291138668e+00,9.197143302154903166e-01
1.235738550799435664e+01,3.455980200107447775e+00,9.198783062967264001e-01
1.235636660037228118e+01,3.456343858328553509e+00,9.200420826014283904e-01
1.235534783171035222e+01,3.456708176836932989e+00,9.202056590633715949e-01
1.235432920239156473e+01,3.457073155514614360e+00,9.203690356163147790e-01
1.235331071279930804e+01,3.457438794243359759e+00,9.205322121940363589e-01
1.235229236331738534e+01,3.457805092904599586e+00,9.206951887303486126e-01
1.235127415432969755e+01,3.458172051379295731e+00,9.208579651589940962e-01
1.235025608622070692e+01,3.458539669548153395e+00,9.210205414137949687e-01
1.234923815937513325e+01,3.458907947291522067e+00,9.211829174285386390e-01
1.234822037417799123e+01,3.459276884489363102e+00,9.213450931370096297e-01
1.234720273101471477e+01,3.459646481021322995e+00,9.215070684730206629e-01
1.234618523027099180e+01,3.460016736766653889e+00,9.216688433703605909e-01
1.234516787233295609e+01,3.460387651604311721e+00,9.218304177628477980e-01
